JURISDICTION,INDICATOR,SCALE,2018,2019,2020,2021,2022,2023
Bangladesh,Number of taxpayers by tax type-Employers that withhold tax from employees-Registered employers,Units,79870,82456,D,,176223,87703
Antigua and Barbuda,Tax cases under internal review procedures-No. of cases on hand at FY end,Units,3,2,D,D,D,D
Côte d'Ivoire,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits completed,Units,,,,,4953,D
Bolivia,Number of returns received by tax type and channel-Value added tax-Electronic returns-Not prefilled,Units,0,0,3139254,3192889,0,D
India,Staff strength levels -Departures in FY,Units,D,D,D,7997,5434,8976
Angola,Number of returns received by tax type and channel-Value added tax-Electronic returns-Not prefilled,Units,,0,D,D,D,D
Brazil,No. of incoming service contacts by channel-Mail / post,Units,D,D,D,D,0,0
St. Vincent and the Grenadines,Staff strength levels -Departures in FY,Units,2,3,D,1,7,10
Papua New Guinea,Academic qualifications (No. of staff at the end of FY)-Bachelors degree,Units,D,D,250,240,220,228
Burkina Faso,Academic qualifications (No. of staff at the end of FY)-Masters degree (or above),Units,,,876,904,D,D
Montserrat,Tax cases under internal review procedures-No. of cases on hand at FY end,Units,7,7,0,D,30,
Fiji,No. of incoming service contacts by channel-Mail / post,Units,,D,D,0,D,D
Senegal,Number of returns received by tax type and channel-Value added tax-Electronic returns-Not prefilled,Units,D,D,D,127391,1434,289224
Lesotho,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits where a tax adjustment was made,Units,D,D,70,17,61,444
Niger,On-time return filing-Value added tax-No. of returns expected,Units,91648,152828,D,D,D,73328564307
Belgium,"No. of incoming service contacts by channel-Digital assistance (e.g. chat, digital assistant)",Units,0,0,0,0,D,D
Japan,FTEs by function of the tax administration-Other functions,Units,D,D,9074,9085,9289,9360
Lesotho,Number of returns received by tax type and channel-Corporate income tax-Electronic returns-Not prefilled,Units,D,D,0,0,0,0
"Korea, Republic of",Number of returns received by tax type and channel-Value added tax-Electronic returns-Not prefilled,Units,D,D,D,D,0,D
India,Length of service (No. of staff at the end of FY)-Under 5 years,Units,D,D,D,D,17861,16759
Vietnam,Gender distribution (No. of staff at the end of FY)-Executives only-Female,Units,D,D,D,36,3025,3085
Seychelles,No. of incoming service contacts by channel-E-mail,Units,,,,D,420,200
Niger,On-time return filing-Corporate income tax-No. of returns expected,Units,10295,6222,D,D,D,2.93958E+11
Panama,Number of taxpayers by tax type-Personal income tax-Active taxpayers,Units,161115,158228,202251,D,301538,325364
Burundi,Tax cases under independent review by external bodies-No. of cases on hand at FY end,Units,0,0,0,D,D,D
El Salvador,No. of incoming service contacts by channel-E-mail,Units,21704,19967,,D,38136,25180
Canada,Number of taxpayers by tax type-Excise (domestic manufacturers / producers)-Registered taxpayers,Units,D,D,41826,43671,45965,51800
Tonga,Number of returns received by tax type and channel-Corporate income tax-Electronic returns-Not prefilled,Units,0,0,0,D,2,9
Lao People's Democratic Republic,No. of tax crime investigation cases referred for prosecution during the fiscal year (where the tax administration has responsibility),Units,109,69,D,2,D,
Rwanda,FTEs by function of the tax administration-Enforced debt collection and related functions,Units,D,40,D,D,55,52
Vanuatu,Gender distribution (No. of staff at the end of FY)-Executives only-Female,Units,,,1,1,1,D
Papua New Guinea,Age distribution (No. of staff at the end of FY)-Over 64 years,Units,D,D,0,1,2,1
Sierra Leone,Number of returns received by tax type and channel-Value added tax-Electronic returns-Not prefilled,Units,D,D,D,D,16105,24506
Burkina Faso,Academic qualifications (No. of staff at the end of FY)-Bachelors degree,Units,,,1076,829,D,D
Burundi,No. of incoming service contacts by channel-E-mail,Units,0,0,0,0,D,D
Papua New Guinea,Length of service (No. of staff at the end of FY)-Under 5 years,Units,D,D,257,298,236,204
Colombia,No. of incoming service contacts by channel-Mail / post,Units,D,D,D,D,24122,D
Moldova,"No. of incoming service contacts by channel-Digital assistance (e.g. chat, digital assistant)",Units,D,D,D,164,90,90
Burkina Faso,Number of taxpayers by tax type-Excise (domestic manufacturers / producers)-Active taxpayers,Units,,,13,29,D,23
