JURISDICTION,INDICATOR,SCALE,2018,2019,2020,2021,2022,2023
Pakistan,On-time payments-Value added tax-Value of payments expected by due date (in thousands in local currency),Thousands,0,D,1593000000,D,D,D
Mexico,Closing stock of arrears at year-end (in thousands in local currency)-Arrears considered non-collectible,Thousands,81762541,76246205,131730132,140494008,188328268,327412466
Turks and Caicos Islands,Audits undertaken by the LTO / program (excluding electronic compliance checks)-Total value of additional assessments raised (including penalties and interest) (in thousands in local currency),Thousands,,,,,610,18
Bangladesh,On-time payments-Personal income tax-Value of payments received (in thousands in local currency),Thousands,,,,,388279500,26010000
Burundi,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Tax withheld by employers from employees,Thousands,2950080,825547,1627554,869566,D,D
Malaysia,Audits undertaken by the LTO / program (excluding electronic compliance checks)-Total value of additional assessments raised (including penalties and interest) (in thousands in local currency),Thousands,5751478,10970766,8165076,8963725,2226236,2706566
Ireland,Closing stock of arrears at year-end (in thousands in local currency)-Total arrears,Thousands,4368088,4301132,6737881,5254144,4803949,3398619
Ecuador,Audits undertaken by the LTO / program (excluding electronic compliance checks)-Total value of additional assessments raised (including penalties and interest) (in thousands in local currency),Thousands,142613954,187353675,204110,239146,373254,279026
Taiwan,On-time payments-Corporate income tax-Value of payments received (in thousands in local currency),Thousands,,,,,1045961330,1079455217
Côte d'Ivoire,Closing stock of arrears at year-end (in thousands in local currency)-Arrears considered non-collectible,Thousands,,,,,D,1227
Finland,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Tax withheld by employers from employees,Thousands,D,D,D,54305,25919,20398
Trinidad and Tobago,Closing stock of arrears at year-end (in thousands in local currency)-Arrears considered non-collectible,Thousands,D,D,207084,85071,202797,92295
Indonesia,On-time payments-Value added tax-Value of payments made on time (in thousands in local currency),Thousands,5.62796E+11,5.73374E+11,5.18098E+11,6.31137E+11,8.68165E+11,8.78575E+11
Republic of North Macedonia,Value of all VAT ‘credits’ at year end (in thousands in local currency),Thousands,D,D,8970552,D,34347639,38733585
Estonia,On-time payments-Corporate income tax-Value of payments received (in thousands in local currency),Thousands,,,,,592457,704183
Zambia,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Tax withheld by employers from employees,Thousands,199186,272500,135922,199480,119800,213400
Malta,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Tax withheld from employees by employers,Thousands,134937,167008,217352,213340,214992,631824
Latvia,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Personal income tax,Thousands,2470,2386,16634,1287,5879,4871
Guinea,Closing stock of arrears at year-end (in thousands in local currency)-Total arrears relating to state owned enterprises,Thousands,632841602,632841602,700763,906017447,1608027533,2077560905
Kyrgyz Republic,Net revenue collected by the tax administration (in thousands in local currency)-Other taxes,Thousands,33418335,36347168,,73914100,134371506,0
Republika Srpska,Net revenue collected by the tax administration (in thousands in local currency)-Non-tax revenue,Thousands,434060,446182,380773,463144,493074,603764
"Congo, Republic of",Closing stock of arrears at year-end by tax type (in thousands in local currency)-Value added tax,Thousands,122088713,137709294,34400396,,D,D
Barbados,Closing stock of arrears at year-end (in thousands in local currency)-Total arrears relating to state owned enterprises,Thousands,D,D,157913,301566,306805,12901
Eswatini,Net revenue collected by the tax administration (in thousands in local currency)-Income tax - individuals,Thousands,3260639,3483571,3555661,3795828,3795828,4222579
Anguilla,Net revenue collected by the tax administration (in thousands in local currency)-Other taxes,Thousands,,,,,148770,
Guinea,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Value added tax,Thousands,407408799,407408799,64204570,1450529,D,D
Jamaica,On-time payments-Employers that withhold tax from employees-Value of payments expected by due date (in thousands in local currency),Thousands,46781655,69624666,67968091,67968091,68820392,93485120
Belarus,On-time payments-Personal income tax-Value of payments expected by due date (in thousands in local currency),Thousands,99456,112843,6690443,7917150,9346857,D
Cabo Verde,On-time payments-Employers that withhold tax from employees-Value of payments made on time (in thousands in local currency),Thousands,3871995,4336982,3847514,3366362,3734101,3975064
Guinea,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Personal income tax,Thousands,322531966,322531966,27516244,7554589,D,D
Jamaica,Closing stock of arrears at year-end (in thousands in local currency)-Arrears relating to state owned enterprises considered not collectible,Thousands,48287621,24921492,27973654,27973654,63872468,72394691
Guyana,On-time payments-Employers that withhold tax from employees-Value of payments made on time (in thousands in local currency),Thousands,9328852,11413705,17920102,17650210,D,D
Netherlands,On-time payments-Employers that withhold tax from employees-Value of payments expected by due date (in thousands in local currency),Thousands,153029885,156998869,152976759,159826585,172490374,186221472
Republika Srpska,Net revenue collected by the tax administration (in thousands in local currency)-Social security contributions,Thousands,1513264,1573972,1638424,1792026,1966831,2247012
Ukraine,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Personal income tax,Thousands,494477,4087296,432424,95080,12795,976907
Rwanda,Closing stock of arrears at year-end (in thousands in local currency)-Total arrears,Thousands,222942439,266916192,326200269,485075706,524800000,690600000
Jamaica,Value of additional assessments raised from audits and verification actions (including penalties and interest) (in thousands in local currency)-All audits (excluded electronic compliance checks),Thousands,7654403,10690236,13206600,13206600,5213215,8275715
Nigeria,On-time payments-Corporate income tax-Value of payments made on time (in thousands in local currency),Thousands,D,D,,3896540453,6910936415,7459436327
Uzbekistan,Net revenue collected by the tax administration (in thousands in local currency)-Other taxes,Thousands,20199274274,22841908550,22610911807,24685758533,40677564152,30486572719
Peru,Closing stock of arrears at year-end (in thousands in local currency)-Arrears relating to state owned enterprises considered not collectible,Thousands,765633,565348,345963,333209,344420,384108
Madagascar,Net revenue collected by the tax administration (in thousands in local currency)-Income tax - individuals,Thousands,547815627.1,687985016.9,620914872,661013320,753512401,906617401
"Azerbaijan, Republic of",Net revenue collected by the tax administration (in thousands in local currency)-Other taxes,Thousands,1069230,1061089,1818551,814300,918800,964919
Poland,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Value added tax,Thousands,16170649,13674990,10969339,8784157,9213618,8757435
Niue,Net revenue collected by the tax administration (in thousands in local currency)-Other taxes,Thousands,,,,3280,690,
Indonesia,Net revenue collected by the tax administration (in thousands in local currency)-Income tax - individuals,Thousands,1.44321E+11,1.59704E+11,1.52624E+11,1.62244E+11,1.85959E+11,2.13618E+11
Brunei Darussalam,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Corporate income tax,Thousands,,,75,5600,56,3371
Lithuania,Value of additional assessments raised from audits and verification actions (including penalties and interest) (in thousands in local currency)-All audits (excluded electronic compliance checks),Thousands,57318,67598,47513,71848,39701,52507
Malta,On-time payments-Personal income tax-Value of payments made on time (in thousands in local currency),Thousands,404842,506057,754370,782592,884175,1003958
Jamaica,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Personal income tax,Thousands,10563711,12554820,16364139,16364139,20425619,15830228
Colombia,Net revenue collected by the tax administration (in thousands in local currency)-Income tax - individuals,Thousands,12215962644,12888179508,12977787556,15487128632,18984236021,24226726980
Lithuania,On-time payments-Corporate income tax-Value of payments expected by due date (in thousands in local currency),Thousands,686592,753465,837252,1174850,1597448,1745857
Brazil,Closing stock of arrears at year-end (in thousands in local currency)-Arrears relating to state owned enterprises considered not collectible,Thousands,0,0,0,109472585,144611063,119747051
Peru,On-time payments-Employers that withhold tax from employees-Value of payments made on time (in thousands in local currency),Thousands,9958399,10577791,9808928,11467729,12766399,12887300
Sierra Leone,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Value added tax,Thousands,169670000,1710632,806608,190817678,297229844,318422
Jamaica,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Corporate income tax,Thousands,1417285,1391989,5638050,5638050,2637434,4831275
Lithuania,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Value added tax,Thousands,33720,27752,1435,1190,16505,22519
Lithuania,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Personal income tax,Thousands,10870,24816,1036,910,8139,14373
Antigua and Barbuda,Net revenue collected by the tax administration (in thousands in local currency)-Income tax - individuals,Thousands,6860,6231,5629,6777,7059,6635
Netherlands,Net revenue collected by the tax administration (in thousands in local currency)-Income tax - individuals,Thousands,60184377,65772951,66194700,69729187,74339388,88157774
Barbados,On-time payments-Employers that withhold tax from employees-Value of payments made on time (in thousands in local currency),Thousands,295694,D,307511,221014,292594,279953
Ecuador,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Personal income tax,Thousands,20778,49483,25407,38236,62135,38220
Togo,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Value added tax,Thousands,109539,69303112,D,D,D,D
Ukraine,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Personal income tax,Thousands,2139074,2925994,2782972,4501573,4984726,12932848
Ecuador,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Value added tax,Thousands,16945,31561,11671,4226,26963,1591
Fiji,Net revenue collected by the tax administration (in thousands in local currency)-Income tax - individuals,Thousands,146191,152009,172021,161746,178077,213466
Ecuador,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Personal income tax,Thousands,471522,561560,654315,709806,812780,893370
Ecuador,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Value added tax,Thousands,293708,336228,102921,430141,451846,466403
Belize,On-time payments-Personal income tax-Value of payments expected by due date (in thousands in local currency),Thousands,2060,2746,112140,48956,7196,1348
Ukraine,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Corporate income tax,Thousands,3300058,14702843,8783080,41053866,4303988,9375040
Belarus,On-time payments-Employers that withheld tax from employees-Value of payments received (in thousands in local currency),Thousands,,,,,8666542,D
"Armenia, Republic of",Net revenue collected by the tax administration (in thousands in local currency)-Income tax - individuals,Thousands,356585300,409908000,411514469,426279794,474791975,554554152
Kyrgyz Republic,On-time payments-Employers that withhold tax from employees-Value of payments made on time (in thousands in local currency),Thousands,D,D,,125330476,D,D
Bangladesh,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Tax withheld by employers from employees,Thousands,0,0,D,,8469100,D
Grenada,Closing stock of arrears at year-end (in thousands in local currency)-Total arrears,Thousands,447447,565384,659643,930847,756000,1108541
Uganda,Net revenue collected by the tax administration (in thousands in local currency)-Non-tax revenue,Thousands,380036541,454640365,926523278,1051706800,1232374418,1476060050
Palau,On-time payments-Employers that withheld tax from employees-Value of payments received (in thousands in local currency),Thousands,,,,,D,10693
Belarus,On-time payments-Corporate income tax-Value of payments made on time (in thousands in local currency),Thousands,3277700,3799400,2789720,5128535,D,D
Canada,On-time payments-Employers that withhold tax from employees-Value of payments expected by due date (in thousands in local currency),Thousands,172978000,181987223,192647779,211607295,216605572,256799828
Maldives,Net revenue collected by the tax administration (in thousands in local currency)-Income tax - individuals,Thousands,,,83220,219191,318234,365139
France,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Value added tax,Thousands,3507531,3456954,2661568,3690080,2111483,2073025
India,Composition of value added tax collected by the tax administration (in thousands in local currency)-Value added tax (gross domestic),Thousands,,,,3751141300,4567130200,9644223600
Australia,Net revenue collected by the tax administration (in thousands in local currency)-Income tax - individuals,Thousands,206992959,223672881,221920287,232961267,259052261,296657586
Georgia,Net revenue collected by the tax administration (in thousands in local currency)-Other taxes,Thousands,1919649,1686567,1716115,2407159,2791249,3064813
Panama,Net revenue collected by the tax administration (in thousands in local currency)-Non-tax revenue,Thousands,,,,84453,103373,232520
Angola,Net revenue collected by the tax administration (in thousands in local currency)-Value added tax,Thousands,,131082919,733524566,548611978,1174593345,718440071
Zambia,On-time payments-Value added tax-Value of payments received (in thousands in local currency),Thousands,,,,,7637323,12673900
Chile,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Value added tax,Thousands,13014692369,12962144040,14350626129,15280618599,18501836134,20599579101
Montserrat,Net revenue collected by the tax administration (in thousands in local currency)-Income tax - individuals,Thousands,14146,14163,14561,14557,14542,
Slovak Republic,Net revenue collected by the tax administration (in thousands in local currency)-Income tax - individuals,Thousands,3217628,3534474,3491532,3814713,4105361,4662100
Tuvalu,On-time payments-Personal income tax-Value of payments made on time (in thousands in local currency),Thousands,,,,3156,D,3546
Taiwan,Composition of value added tax collected by the tax administration (in thousands in local currency)-Value added tax (gross domestic),Thousands,366822,376623,397861381,438590840,467327078,426343071
Philippines,Closing stock of arrears at year-end (in thousands in local currency)-Total arrears relating to state owned enterprises,Thousands,4380000,9230000,13000000,12438843,,
"Timor-Leste, Dem. Rep. of",Closing stock of arrears at year-end by tax type (in thousands in local currency)-Corporate income tax,Thousands,D,D,D,32,38,D
Suriname,Net revenue collected by the tax administration (in thousands in local currency)-Other taxes,Thousands,3496239,3812408,,3891191,5833865,1903947
Angola,Total salary expenditures (in thousands in local currency),Thousands,51034663,66210591,D,62107889,D,120571248
Cabo Verde,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Personal income tax,Thousands,D,D,D,D,1819927,1989320
Brazil,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Personal income tax,Thousands,46460000,41190000,44438234,52201717,132311609,213973981
Togo,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Personal income tax,Thousands,104264,254362,D,D,D,D
"Congo, Republic of",Net revenue collected by the tax administration (in thousands in local currency)-Income tax - individuals,Thousands,114826200,123906749,113840098,,105462029,140363775
"Congo, Republic of",Closing stock of arrears at year-end by tax type (in thousands in local currency)-Tax withheld from employees by employers,Thousands,27309965,37170853,60200693,,D,D
Peru,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Personal income tax,Thousands,3573242,3275030,3989674,4367784,4868947,6135380
Israel,Composition of value added tax collected by the tax administration (in thousands in local currency)-Value added tax (gross domestic),Thousands,85889000,91349000,92744000,108797000,119436000,115550000
"Marshall Islands, Republic of",Net revenue collected by the tax administration (in thousands in local currency)-Other taxes,Thousands,,,6391,712,712,32695
United Kingdom,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Value added tax,Thousands,3022304,3569287,3943942,29869600,12452390,14397441
Ecuador,Value of additional assessments raised from audits and verification actions (including penalties and interest) (in thousands in local currency)-All audits (excluded electronic compliance checks),Thousands,449341,432801,341143,404103,524680,368914
"Gambia, The",Closing stock of arrears at year-end by tax type (in thousands in local currency)-Value added tax,Thousands,D,25730,,97523,58512,D
"Kosovo, Republic of",Net revenue collected by the tax administration (in thousands in local currency)-Income tax - individuals,Thousands,132089,141367,148880,60236,216840,257034
Montenegro,Total salary expenditures (in thousands in local currency),Thousands,,,,,6147,7849
"Timor-Leste, Dem. Rep. of",Net revenue collected by the tax administration (in thousands in local currency)-Other taxes,Thousands,25580,25120,3964,212749,279369,67430
Niue,Net revenue collected by the tax administration (in thousands in local currency)-Income tax - individuals,Thousands,,,,3143,3281,
Fiji,Net revenue collected by the tax administration (in thousands in local currency)-Non-tax revenue,Thousands,,,,,127861,137327
São Tomé and Príncipe,Net revenue collected by the tax administration (in thousands in local currency)-Income tax - individuals,Thousands,24736,30318,348178,364549,422083,441643
Philippines,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Value added tax,Thousands,98130000,102900000,80000000,114672444,,
"Kosovo, Republic of",Net revenue collected by the tax administration (in thousands in local currency)-Social security contributions,Thousands,,,195300,213451,237493,274907
Jamaica,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Personal income tax,Thousands,3970440,3570900,4675789,4675789,1188701,864177
Tuvalu,On-time payments-Value added tax-Value of payments received (in thousands in local currency),Thousands,,,,,324,600
Cook Islands,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Value added tax,Thousands,13205,8265,5487,9249,12291,12299
Vietnam,On-time payments-Corporate income tax-Value of payments made on time (in thousands in local currency),Thousands,204313,236515,D,D,D,D
Australia,Net revenue collected by the tax administration (in thousands in local currency)-Non-tax revenue,Thousands,454553,84542,-259386,1418108,1086568,276154
Ukraine,Net revenue collected by the tax administration (in thousands in local currency)-Other taxes,Thousands,247690362,283595275,138197277,186994749,183309317,209341129
Nepal,Net revenue collected by the tax administration (in thousands in local currency)-Income tax - individuals,Thousands,,,56460193,59482386,90216304,91491283
"Türkiye, Rep of",Net revenue collected by the tax administration (in thousands in local currency)-Income tax - individuals,Thousands,138992395,162704018,158841637,219655839,356464374,694044298
Hungary,Net revenue collected by the tax administration (in thousands in local currency)-Other taxes,Thousands,2005474500,2061159700,2060165036,2240345040,3142908823,3759879333
Canada,On-time payments-Value added tax-Value of payments received (in thousands in local currency),Thousands,,,,,D,143801315
"Congo, Republic of",Closing stock of arrears at year-end (in thousands in local currency)-Total arrears relating to state owned enterprises,Thousands,75012834,79331427,176098231,,D,D
Brazil,Value of additional assessments raised from audits and verification actions (including penalties and interest) (in thousands in local currency)-All audits (excluded electronic compliance checks),Thousands,186935941,201105677,177300883,199566341,131694311,225536380
Ecuador,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Corporate income tax,Thousands,376664895,336973763,298039,348341,434545,325111
Lithuania,Net revenue collected by the tax administration (in thousands in local currency)-Income tax - individuals,Thousands,1840347,3446158,3516776,4188632,5118448,5699979
Latvia,Value of additional assessments raised from audits and verification actions (including penalties and interest) (in thousands in local currency)-All audits (excluded electronic compliance checks),Thousands,112169,71147,58409,66564,21467,18393
Togo,Closing stock of arrears at year-end (in thousands in local currency)-Arrears relating to state owned enterprises considered not collectible,Thousands,101007,103380,D,D,19356764,D
Zambia,On-time payments-Employers that withheld tax from employees-Value of payments received (in thousands in local currency),Thousands,,,,,12466379,14226300
Togo,On-time payments-Employers that withhold tax from employees-Value of payments expected by due date (in thousands in local currency),Thousands,16605037,15703061,42994164,25749070,29554312,23750261
"China, P.R.: Mainland",Net revenue collected by the tax administration (in thousands in local currency)-Other taxes,Thousands,3138892360,3315924800,3397451180,3728721750,3594664640,3480449590
Slovenia,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Value added tax,Thousands,417339,406630,317789,304284,298539,269149
India,Net revenue collected by the tax administration (in thousands in local currency)-Value added tax,Thousands,,,,5487773100,6981138800,12231363752
Guinea,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Value added tax,Thousands,288463221,288463221,288463221,D,D,D
Tonga,On-time payments-Employers that withhold tax from employees-Value of payments expected by due date (in thousands in local currency),Thousands,20050,20248,20417,D,10189,13149
Mongolia,Net revenue collected by the tax administration (in thousands in local currency)-Other taxes,Thousands,1365009189,1743407978,690920000,2181417827,3549275473,5053044457
El Salvador,On-time payments-Employers that withhold tax from employees-Value of payments expected by due date (in thousands in local currency),Thousands,946451,955570,,1044820,1265220,D
Colombia,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Value added tax,Thousands,3118408989,3655373514,5532814246,6989698651,6542158782,7025490000
"China, P.R.: Hong Kong",Closing stock of arrears at year-end (in thousands in local currency)-Total arrears,Thousands,39690439,45512352,49314213,50244659,48863792,47209918
Honduras,Net revenue collected by the tax administration (in thousands in local currency)-Other taxes,Thousands,18376000,19541000,16340930,21451899,18817794,19865115
Grenada,Value of all VAT ‘credits’ at year end (in thousands in local currency),Thousands,2677,3078,3078,D,D,21903
Seychelles,Net revenue collected by the tax administration (in thousands in local currency)-Non-tax revenue,Thousands,194010,202891,336852,123649,2580,3912
"Congo, Republic of",On-time payments-Value added tax-Value of payments expected by due date (in thousands in local currency),Thousands,149644804,161219808,153601024,,D,D
Cabo Verde,Net revenue collected by the tax administration (in thousands in local currency)-Income tax - individuals,Thousands,6926663,7334465,6438100,6465913,6465792,6720700
Denmark,Composition of value added tax collected by the tax administration (in thousands in local currency)-Value added tax (gross domestic),Thousands,511118807,547524113,536432398,454701359,550174918,263387147
Seychelles,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Value added tax,Thousands,43773,28930,54358,45754,65005,189206
Seychelles,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Personal income tax,Thousands,0,0,0,3033,4817,D
Georgia,On-time payments-Corporate income tax-Value of payments expected by due date (in thousands in local currency),Thousands,802181,972701,1007470,1041034,2013053,2109626
Slovenia,On-time payments-Personal income tax-Value of payments expected by due date (in thousands in local currency),Thousands,2480506,2636252,2537115,3352161,3554885,3760562
Montenegro,Closing stock of arrears at year-end (in thousands in local currency)-Arrears considered non-collectible,Thousands,225000,200000,210000,230000,240000,260000
Solomon Islands,On-time payments-Personal income tax-Value of payments expected by due date (in thousands in local currency),Thousands,D,D,40840,D,D,468666
Ireland,Total ICT expenditure (in thousands in local currency),Thousands,56828,57454,64249,72969,70466,77122
Kenya,Net revenue collected by the tax administration (in thousands in local currency)-Value added tax,Thousands,356776808,409526230,365200722,520423487,533106713,645677288
Slovak Republic,Total ICT expenditure (in thousands in local currency),Thousands,68098,62700,76870,44486,53697,47751
Seychelles,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Corporate income tax,Thousands,110642,125116,60754,16362,34138,274652
Costa Rica,Composition of value added tax collected by the tax administration (in thousands in local currency)-Value added tax (gross domestic),Thousands,779416350,958750120,1027921420,1195882670,1353039000,1429710000
Belarus,Net revenue collected by the tax administration (in thousands in local currency)-Income tax - individuals,Thousands,5162700,5915700,6669518,7884434,9281261,D
Uzbekistan,On-time payments-Value added tax-Value of payments expected by due date (in thousands in local currency),Thousands,13734800000,1.69774E+11,20485644000,25572062898,10174984000,35163588000
Solomon Islands,Value of additional assessments raised from audits and verification actions (including penalties and interest) (in thousands in local currency)-All audits (excluded electronic compliance checks),Thousands,277674,162671,183318,78537,27942,109177
Central African Republic,Composition of value added tax collected by the tax administration (in thousands in local currency)-Value added tax (gross domestic),Thousands,40015064,61612680,21020115,20240529,19938843,4651053
Kiribati,Closing stock of arrears at year-end (in thousands in local currency)-Arrears relating to state owned enterprises considered not collectible,Thousands,D,0,,10,5717,7146
Rwanda,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Tax withheld from employees by employers,Thousands,12411361,14199516,14072676,D,D,70117502
"Micronesia, Federated States of",Closing stock of arrears at year-end by tax type (in thousands in local currency)-Tax withheld from employees by employers,Thousands,,,,4379,6714,4264
Papua New Guinea,On-time payments-Personal income tax-Value of payments expected by due date (in thousands in local currency),Thousands,325050,2949500,3517000,3387008,D,D
Chad,On-time payments-Personal income tax-Value of payments received (in thousands in local currency),Thousands,,,,,D,63571065
Central African Republic,On-time payments-Personal income tax-Value of payments made on time (in thousands in local currency),Thousands,1649070,593406,447247,8420,4181,326800
"Congo, Democratic Republic of",On-time payments-Personal income tax-Value of payments expected by due date (in thousands in local currency),Thousands,863329575,765127241,,D,D,D
Panama,On-time payments-Corporate income tax-Value of payments expected by due date (in thousands in local currency),Thousands,997773933,745686595,651817,D,1024649,1.19047E+11
Colombia,Total operating expenditures (in thousands in local currency),Thousands,,,1512887220,1695511630,1789976199,2280606238
Kiribati,On-time payments-Employers that withheld tax from employees-Value of payments received (in thousands in local currency),Thousands,,,,,13966,15032
Central African Republic,On-time payments-Value added tax-Value of payments received (in thousands in local currency),Thousands,,,,,18225882,20048863
Indonesia,Composition of value added tax collected by the tax administration (in thousands in local currency)-Value added tax (gross domestic),Thousands,4.15715E+11,4.44681E+11,4.17962E+11,4.78032E+11,6.20496E+11,6.67725E+11
Panama,Value of additional assessments raised from audits and verification actions (including penalties and interest) (in thousands in local currency)-All audits (excluded electronic compliance checks),Thousands,127863762,19974053,266411962,61010324,161184,D
Denmark,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Personal income tax,Thousands,38353000,40238000,41352000,43383000,40408000,41330000
Israel,On-time payments-Value added tax-Value of payments received (in thousands in local currency),Thousands,,,,,122317699,110870998
"Congo, Democratic Republic of",On-time payments-Value added tax-Value of payments received (in thousands in local currency),Thousands,,,,,D,2285863453
Papua New Guinea,On-time payments-Employers that withheld tax from employees-Value of payments received (in thousands in local currency),Thousands,,,,,935346,D
Cameroon,On-time payments-Value added tax-Value of payments received (in thousands in local currency),Thousands,,,,,790767500,823193700
Anguilla,Closing stock of arrears at year-end (in thousands in local currency)-Total arrears relating to state owned enterprises,Thousands,,,,,4382,
Cabo Verde,Net revenue collected by the tax administration (in thousands in local currency)-Value added tax,Thousands,15139113,15048406,12149980,12783945,17627601,19924600
Israel,On-time payments-Personal income tax-Value of payments expected by due date (in thousands in local currency),Thousands,19227000,21395375,21781980,24800639,67453749,68363257
Montenegro,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Personal income tax,Thousands,21711,16915,12001,10719,13563,3685
Montenegro,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Value added tax,Thousands,19273,42331,13220,8713,20667,18052
"Azerbaijan, Republic of",Closing stock of arrears at year-end by tax type (in thousands in local currency)-Tax withheld from employees by employers,Thousands,13899,11591,24624,24449,24108,29559
Palau,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Tax withheld from employees by employers,Thousands,,,11999,D,169,107
"Korea, Republic of",Composition of value added tax collected by the tax administration (in thousands in local currency)-Value added tax (gross domestic),Thousands,25283853896,28278557991,28564164484,25376769614,20546444805,21196532986
Papua New Guinea,On-time payments-Corporate income tax-Value of payments made on time (in thousands in local currency),Thousands,193330,1696896,162772,2118146,2042635,2289750
Iceland,On-time payments-Corporate income tax-Value of payments expected by due date (in thousands in local currency),Thousands,75702000,67802000,64774000,65896000,101719000,145546000
Tajikistan,On-time payments-Corporate income tax-Value of payments received (in thousands in local currency),Thousands,,,,,3050375,3520066
Pakistan,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Value added tax,Thousands,0,0,0,206343140,402441000,D
Kiribati,On-time payments-Personal income tax-Value of payments made on time (in thousands in local currency),Thousands,D,3579,,D,0,D
Tajikistan,Net revenue collected by the tax administration (in thousands in local currency)-Value added tax,Thousands,5948647,6063715,D,8193890,8911004,10596132
Guinea,On-time payments-Employers that withhold tax from employees-Value of payments expected by due date (in thousands in local currency),Thousands,820471187,994539721,465205886,724465978,592840639,D
Chad,On-time payments-Value added tax-Value of payments expected by due date (in thousands in local currency),Thousands,D,D,59254014,D,D,D
Kiribati,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Personal income tax,Thousands,456,661,,3,0,D
Peru,Net revenue collected by the tax administration (in thousands in local currency)-Value added tax,Thousands,48031594,48444996,41616432,61740454,68417920,65093051
Burundi,Net revenue collected by the tax administration (in thousands in local currency)-Other taxes,Thousands,8973291,7595750,12256077,8030691,20402888,22595468
Poland,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Personal income tax,Thousands,1466841,1494497,2378427,4125608,3573672,2643849
Anguilla,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Value added tax,Thousands,,,,,127,
Trinidad and Tobago,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Personal income tax,Thousands,23672,14582,16092,23290,25289,51855
Nigeria,On-time payments-Value added tax-Value of payments received (in thousands in local currency),Thousands,,,,,2511517730,3639316851
Barbados,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Tax withheld from employees by employers,Thousands,0,0,0,335218,337000,486319
Panama,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Personal income tax,Thousands,19236925,22054969,720,D,14194,D
Panama,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Value added tax,Thousands,8314119,3321986,3194249,10267148,3098631,813544360
